StreamName,MaxE2E(us),Deadline(us),Path
Stream_129,1212.5,13836,ES_65->Switch_22->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->ES_94
Stream_130,1763.8,7366,ES_65->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->ES_39
Stream_131,3735.0,8614,ES_66->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->Switch_7->ES_19
Stream_132,1477.2,4134,ES_66->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->ES_45
Stream_133,145.1,7428,ES_67->Switch_23->ES_68
Stream_134,2867.7,1418,ES_67->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_48
Stream_135,2128.6,13352,ES_68->Switch_23->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->ES_94
Stream_136,1069.0,1323,ES_68->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_48
Stream_137,1096.1,4028,ES_69->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->ES_36
Stream_138,4990.0,1831,ES_69->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->ES_28
Stream_139,2334.9,2594,ES_70->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->ES_54
Stream_140,4052.8,9054,ES_70->Switch_24->Switch_25->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->ES_14
Stream_141,833.0,18768,ES_71->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->ES_39
Stream_142,2600.9,9715,ES_71->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->ES_51
Stream_143,1996.2,17418,ES_72->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->Switch_8->ES_23
Stream_144,863.8,2801,ES_72->Switch_24->Switch_25->Switch_26->Switch_27->ES_80
Stream_145,386.7,19107,ES_73->Switch_25->Switch_26->ES_77
Stream_146,2992.6,10804,ES_73->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->Switch_9->ES_25
Stream_147,1371.9,13994,ES_74->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->ES_42
Stream_148,865.7,14141,ES_74->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->ES_62
Stream_149,265.1,5439,ES_75->Switch_25->Switch_26->ES_77
Stream_150,3432.9,3872,ES_75->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->ES_42
Stream_151,132.6,14059,ES_76->Switch_26->Switch_27->ES_79
Stream_152,282.8,17070,ES_76->Switch_26->Switch_25->ES_74
Stream_153,6510.8,6823,ES_77->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->Switch_10->ES_29
Stream_154,490.4,16260,ES_77->Switch_26->Switch_25->ES_75
Stream_155,765.1,5698,ES_78->Switch_26->Switch_27->Switch_28->ES_82
Stream_156,2179.9,16848,ES_78->Switch_26->Switch_27->Switch_28->Switch_29->Switch_30->Switch_31->Switch_32->Switch_1->Switch_2->Switch_3->Switch_4->Switch_5->Switch_6->ES_16
Stream_157,4326.4,3918,ES_79->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->ES_47
Stream_158,7835.5,15959,ES_79->Switch_27->Switch_26->Switch_25->Switch_24->Switch_23->Switch_22->Switch_21->Switch_20->Switch_19->Switch_18->Switch_17->Switch_16->Switch_15->Switch_14->Switch_13->Switch_12->Switch_11->ES_31
Stream_159,920.5,14315,ES_80->Switch_27->Switch_28->Switch_29->Switch_30->ES_88
